State,Time Zone
Alabama(AL),Central Standard Time (CST)
Alaska(AK),Alaska Standard Time (AKST)
Aleutian Islands Hawaii-Aleutian Standard Time (HST),
Arizona(AZ),Mountain Standard Time (MST)
"The Navajo Nation uses Daylight Saving Time (DST), the rest of the state does not",
American Samoa,Samoa Time (SST)
American Samoa does not use Daylight Saving Time (DST),
Arkansas(AR),Central Standard Time (CST)
California(CA),Pacific Standard Time (PST)
Colorado(CO),Mountain Standard Time (MST)
Connecticut(CT),Eastern Standard Time (EST)
Delaware(DE),Eastern Standard Time (EST)
District of Columbia(DC),Eastern Standard Time (EST)
Florida(FL),Most of the state: Eastern Standard Time (EST)
West of the Apalachicola River: Central Standard Time (CST),
Georgia(GA),Eastern Standard Time (EST)
Guam (GU),Chamorro Standard Time (ChST)
Guam does not use Daylight Saving Time (DST),
Hawaii(HI),Hawaii-Aleutian Standard Time (HST)
Hawaii does not use Daylight Saving Time (DST),
Idaho(ID),Most of the state: Mountain Standard Time (MST)
North of the Salmon River: Pacific Standard Time (PST),
Illinois(IL),Central Standard Time (CST)
Indiana(IN),Most of the state: Eastern Standard Time (EST)
Some counties near the southwestern and northwestern border of the state use Central Standard Time (CST),
Iowa(IA),Central Standard Time (CST)
Kansas(KS),Most of the state: Central Standard Time (CST)
"Greeley, Hamilton, Sherman and Wallace counties: Mountain Standard Time (MST)",
Kentucky(KY),Western half of the state: Central Standard Time (CST)
Eastern half of the state: Eastern Standard Time (EST),
Louisiana(LA),Central Standard Time (CST)
Maine(ME),Eastern Standard Time (EST)
Maryland(MD),Eastern Standard Time (EST)
Massachusetts(MA),Eastern Standard Time (EST)
Michigan(MI),Most of the state: Eastern Standard Time (EST)
"Dickinson, Gogebic, Iron and Menominee Counties: Central Standard Time (CST)",
Minnesota(MN),Central Standard Time (CST)
Mississippi(MS),Central Standard Time (CST)
Missouri(MO),Central Standard Time (CST)
Montana(MT),Mountain Standard Time (MST)
Nebraska(NE),Most of the state: Central Standard Time (CST)
Western part of the state: Mountain Standard Time (MST),
Nevada(NV),Most of the state: Pacific Standard Time (PST)
"2 small towns, Jackpot and West Wendover: Mountain Standard Time (MST)",
New Hampshire(NH),Eastern Standard Time (EST)
New Jersey(NJ),Eastern Standard Time (EST)
New Mexico(NM),Mountain Standard Time (MST)
New York(NY),Eastern Standard Time (EST)
North Carolina(NC),Eastern Standard Time (EST)
North Dakota(ND),Most of the state: Central Standard Time (CST)
Western North Dakota: Mountain Standard Time (MST),
Northern Mariana Islands(MP),Chamorro Standard Time (ChST)
The CNMI does not use Daylight Saving Time (DST),
Ohio(OH),Eastern Standard Time (EST)
Oklahoma(OK),Central Standard Time (CST)
Oregon(OR),Most of the state: Pacific Standard Time (PST)
Part of Malheur County: Mountain Standard Time (MST),
Pennsylvania(PA),Eastern Standard Time (EST)
Puerto Rico (PR),Atlantic Standard Time (AST)
Puerto Rico does not use Daylight Saving Time (DST),
Rhode Island(RI),Eastern Standard Time (EST)
South Carolina(SC),Eastern Standard Time (EST)
South Dakota(SD),Eastern South Dakota: Central Standard Time (CST)
Western South Dakota: Mountain Standard Time (MST),
Tennessee(TN),West Tennessee: Central Standard Time (CST)
"Middle Tennessee, plus Marion County: Central Standard Time (CST)",
"East Tennessee, except Marion County: Eastern Standard Time (EST)",
Texas(TX),Most of the state: Central Standard Time (CST)
El Paso and Hudspeth Counties: Mountain Standard Time (MST),
United States Virgin Islands (USVI),Atlantic Standard Time (AST)
The USVI does not use Daylight Saving Time (DST),
Utah(UT),Mountain Standard Time (MST)
Vermont(VT),Eastern Standard Time (EST)
Virginia(VA),Eastern Standard Time (EST)
Washington(WA),Pacific Standard Time (PST)
West Virginia(WV),Eastern Standard Time (EST)
Wisconsin(WI),Central Standard Time (CST)
Wyoming(WY),Mountain Standard Time (MST)